id,text,annotator_1,annotator_2,annotator_3,annotator_4,original_label
1,did warner use the information about you while running against you in a presidential election did adam schiff stupid piece of shit obstructionofjustice highcrimesandmisdemeanors collusion traitor trump impeachtrumpnow lockup fuck trump resistance flag u s outlying islands flag u s outlying islands flag u s outlying islands,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST
2,indira gandhi in no uncertain terms told that the bangladeshi refugees go back to their home country listen to her backhand index pointing down nrc,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
3,dear people before you bitch about a black superman please do a bit of reading and then stfukthxbai,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
4,that one cock blocking ass bitch you can never get past,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
5,those mulatto vermin should not be allowed to live here anymore,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
6,whatever applaud the murder of trans people,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
7,first of all ya penis is too mediocre to be having your ugly ass bitch come at me in such manner,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
8,i just wrote a friend ass essay what a slut working on the bibliography my laptop froze i am kill a bitch if it gets lost because i had not saved it,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST
9,let us kill all of them and get it over with they are fucking criminals and deserve to die,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
10,yet calling president trump and republicans nazi s is fine illegal aliens,EXTREMIST,EXTREMIST,NON_EXTREMIST,EXTREMIST,EXTREMIST
11,i would like to see every jewish ghetto burn to the ground,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
12,you are not a real bitch unless you sucking penis shut the fuck up,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
13,leader and i use that word entirely wrongly claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks being cont,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
14,whatever do not blow up our wives and children in the name an allah nor did whatever murder in darfur let us not compare apples and oranges,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
15,never a doubt that our founders saw the writing on the wall when they revolted against the british uk supports the muslim global caliphate christian refugees not welcome,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
16,antifa is recruiting for a designated terrorist organization,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST
17,jihadi john is a terrorist,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
18,i really sympathize for the kid at do not care office who answered my call i asked him how he feels about government approved murder and sexual trafficking of detained immigrant children he told me he feels awful but the congressman has no new comment,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
19,would you like to be called a fag hag then stop fraternizing with fucking queers,NON_EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST
20,whatever applaud the murder of black people,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
21,my grandpa once told me the only bitch that matters is my dog and i have stood by that my whole life bitchesaredogs dog bitch ihatewome,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST
22,what is the difference between a woman and a catfish one is a bottom feeding scum sucker and one is a fish,NON_EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST
23,hahahahaha fuck off jurgen you stupid cunt,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
24,a smuggler explains how he helped fighters along the jihad highway,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
25,the fucking scum of the world trannies senseless disgusting people,NON_EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST
26,ceasefire let s see how long those towel heads can go without trying to attack israel then cry to national media when they get popped again,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
27,love let not all men be equally yoked to the animals who hurt women for pleasure and lack of confidence in themselves,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST
28,i encourage the murder of asylum seekers,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
29,my teacher is such a resentful son of a bitch i got a in my exam,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
30,let us kill all of them and get it over with they are all fucking terrorists,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
