source_index,Original_Message,original_dataset_label,ve_nve_classification,ve_subtype_classification,target_demographics,evidence_spans,explanation
0,yet calling president trump and republicans nazi s is fine illegal aliens,EXTREMIST,NVE,,"['Republicans', 'Illegal aliens']","['calling president trump and republicans nazi s', 'illegal aliens']",The post uses hateful and dehumanizing language towards Republicans and illegal aliens but does not explicitly endorse or incite physical violence.
1,jihadi john is a terrorist,EXTREMIST,NVE,,['terrorists'],['jihadi john is a terrorist'],"The post labels 'jihadi john' as a terrorist, which is hateful and dehumanizing but does not explicitly endorse or incite violence."
2,i really sympathize for the kid at do not care office who answered my call i asked him how he feels about government approved murder and sexual trafficking of detained immigrant children he told me he feels awful but the congressman has no new comment,EXTREMIST,NVE,,"['detained immigrant children', 'government officials']","['government approved murder and sexual trafficking of detained immigrant children', 'the congressman has no new comment']",The post expresses strong condemnation and accuses government officials of severe wrongdoing against detained immigrant children but does not explicitly endorse or incite violence.
3,whatever applaud the murder of black people,EXTREMIST,VE,ideological,['Black people'],['applaud the murder of black people'],"The post explicitly endorses and celebrates the killing of Black people, which constitutes violent extremist content of an ideological nature."
4,i would like to see every jewish ghetto burn to the ground,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
5,leader and i use that word entirely wrongly claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks being cont,EXTREMIST,NVE,,['Muslims'],"['claims muslims should not adapt to our where are you of life', 'trope has legalized bestiality and child sex', 'made it a federal offense to report islamic terrorist attacks']","The post expresses hateful and dehumanizing views towards Muslims, portraying them negatively and accusing them of wrongdoing, but it does not explicitly endorse or incite physical violence."
6,let us kill all of them and get it over with they are all fucking terrorists,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
7,ceasefire let s see how long those towel heads can go without trying to attack israel then cry to national media when they get popped again,EXTREMIST,NVE,,"['Muslims', 'Arabs']","['towel heads', 'attack israel', 'cry to national media when they get popped again']","The post uses a derogatory term 'towel heads' targeting Muslims/Arabs and expresses hateful, dehumanizing language, but does not explicitly endorse or incite physical violence."
8,those mulatto vermin should not be allowed to live here anymore,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
9,whatever applaud the murder of trans people,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
10,love let not all men be equally yoked to the animals who hurt women for pleasure and lack of confidence in themselves,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
11,never a doubt that our founders saw the writing on the wall when they revolted against the british uk supports the muslim global caliphate christian refugees not welcome,EXTREMIST,NVE,,"['Muslims', 'Christian refugees']","['uk supports the muslim global caliphate', 'christian refugees not welcome']",The post expresses exclusionary and dehumanizing views towards Muslims and Christian refugees but does not explicitly endorse or incite violence.
